TCGA.AB.2949.03B	TCGA.AB.2943.03A	TCGA.AB.2851.03A	TCGA.AB.2822.03A	TCGA.AB.2939.03A	TCGA.AB.2931.03A	TCGA.AB.2921.03A	TCGA.AB.2937.03A	TCGA.AB.2917.03A	TCGA.AB.2849.03A	TCGA.AB.2990.03B	TCGA.AB.3007.03A	TCGA.AB.2948.03A	TCGA.AB.2971.03A	TCGA.AB.2955.03A	TCGA.AB.2892.03A	TCGA.AB.2898.03A	TCGA.AB.2857.03A	TCGA.AB.2995.03A	TCGA.AB.2928.03A	TCGA.AB.2913.03A	TCGA.AB.2866.03A	TCGA.AB.2927.03A	TCGA.AB.2870.03A	TCGA.AB.2956.03A	TCGA.AB.3002.03A	TCGA.AB.2834.03A	TCGA.AB.2875.03A	TCGA.AB.2901.03A	TCGA.AB.2858.03A	TCGA.AB.2853.03A	TCGA.AB.2846.03A	TCGA.AB.2994.03A	TCGA.AB.2977.03B	TCGA.AB.2991.03A	TCGA.AB.2886.03A	TCGA.AB.2806.03A	TCGA.AB.2873.03A	TCGA.AB.2885.03A	TCGA.AB.2876.03A	TCGA.AB.2999.03B	TCGA.AB.2982.03B	TCGA.AB.2815.03A	TCGA.AB.2810.03A	TCGA.AB.2941.03A	TCGA.AB.2896.03B	TCGA.AB.3009.03A	TCGA.AB.2859.03A	TCGA.AB.2934.03A	TCGA.AB.2919.03A	TCGA.AB.3000.03A	TCGA.AB.2973.03A	TCGA.AB.2924.03A	TCGA.AB.2915.03A	TCGA.AB.2952.03B	TCGA.AB.2938.03A	TCGA.AB.2935.03A	TCGA.AB.2823.03A	TCGA.AB.2814.03A	TCGA.AB.2899.03A	TCGA.AB.3001.03A	TCGA.AB.2813.03A	TCGA.AB.2942.03A	TCGA.AB.2930.03A	TCGA.AB.2811.03B	TCGA.AB.2842.03A	TCGA.AB.2911.03A	TCGA.AB.2825.03A	TCGA.AB.2920.03B	TCGA.AB.2998.03A	TCGA.AB.2916.03A	TCGA.AB.2839.03A	TCGA.AB.2965.03A	TCGA.AB.2944.03A	TCGA.AB.2861.03A	TCGA.AB.2843.03A	TCGA.AB.2933.03A	TCGA.AB.2894.03A	TCGA.AB.2888.03B	TCGA.AB.2900.03A	TCGA.AB.2966.03A	TCGA.AB.2963.03A	TCGA.AB.2975.03A	TCGA.AB.2881.03A	TCGA.AB.2950.03A	TCGA.AB.2821.03A	TCGA.AB.2912.03A	TCGA.AB.2890.03A	TCGA.AB.2812.03A	TCGA.AB.2817.03A	TCGA.AB.2970.03A	TCGA.AB.2984.03A	TCGA.AB.2946.03A	TCGA.AB.2828.03A	TCGA.AB.2845.03B	TCGA.AB.2883.03A	TCGA.AB.2959.03A	TCGA.AB.2893.03A	TCGA.AB.2863.03A	TCGA.AB.2871.03A	TCGA.AB.2979.03B	TCGA.AB.2987.03A	TCGA.AB.2891.03A	TCGA.AB.2820.03A	TCGA.AB.2897.03A	TCGA.AB.2884.03A	TCGA.AB.2882.03A	TCGA.AB.2981.03B	TCGA.AB.2877.03A	TCGA.AB.2918.03A	TCGA.AB.2889.03A	TCGA.AB.2808.03A	TCGA.AB.2983.03A	TCGA.AB.2830.03A	TCGA.AB.2929.03A	TCGA.AB.2836.03A	TCGA.AB.2910.03A	TCGA.AB.2856.03A	TCGA.AB.2844.03A	TCGA.AB.2908.03A	TCGA.AB.2940.03A	TCGA.AB.2869.03A	TCGA.AB.2996.03A	TCGA.AB.2867.03A	TCGA.AB.2826.03A	TCGA.AB.2872.03A	TCGA.AB.2840.03A	TCGA.AB.3008.03A	TCGA.AB.2992.03A	TCGA.AB.3011.03A	TCGA.AB.2914.03A	TCGA.AB.2818.03A	TCGA.AB.2986.03A	TCGA.AB.2847.03A	TCGA.AB.2805.03A	TCGA.AB.2819.03A	TCGA.AB.2988.03B	TCGA.AB.2841.03B	TCGA.AB.2976.03A	TCGA.AB.2895.03A	TCGA.AB.3012.03A	TCGA.AB.2874.03A	TCGA.AB.2862.03A	TCGA.AB.2980.03A	TCGA.AB.2865.03A	TCGA.AB.2835.03A	TCGA.AB.2878.03A	TCGA.AB.2936.03A	TCGA.AB.2880.03A	TCGA.AB.2932.03A	TCGA.AB.2925.03A
NKT	0.0128	0.0039	0.2097	0.0563	0.1726	0.0727	0.0734	0.1707	0	0	0.0366	0.2078	0.046	0.0673	0.1315	0.0353	0.0416	0.0085	0	0.0148	0.0402	0.152	0.1228	0.0691	0.0795	0.0758	0	0.0964	0.0544	0.1486	0.0461	0.0735	0.2447	0.1519	0.1995	0.1139	0.036	0.1327	0.0171	0.0729	0.1505	0.1544	0.0395	0.1539	0	0.129	0.0578	0.0893	0.1101	0.0592	0.1789	0.1434	0.025	0.0347	0.0706	0	0	0.2067	0.009	0.0529	0.1927	0.0377	0.0924	0.0422	0.2362	0.0196	0.0907	0.1781	0.0796	0.2262	0.1715	0.0864	0.0453	0.0434	0.0959	0.1037	0.0472	0.065	0.1775	0.1032	0.0601	0.0087	0.0939	0.0863	0.0506	0.0467	0	0.0903	0.0515	0.0178	0.0546	0.1365	0.1301	0.0934	0.1342	0.0887	0.0354	0.0742	0.0097	0.0623	0.1806	0.3335	0.0971	0.1779	0.2692	0.1168	0.0854	0.3635	0.1083	0.1034	0.0596	0.0264	0.0505	0.0665	0.0816	0.1604	0.0785	0.1975	0.0645	0.0304	0.0842	0.0825	0.0239	0.0577	0.0867	0.2482	0.2336	0.1011	0.0145	0.0932	0.0325	0.0127	0.1174	0.0391	0.0838	0.0461	0.0656	0.2509	0.0587	0.0894	0.1578	0.1076	0.2748	0.0753	0.0877	0.0978	0	0.0341	0.2231	0.1129	0.181
Neurons	5e-04	0	0	0.0011	0	0	0	0.0017	0.0042	0.0033	5e-04	6e-04	0	0.0012	0.0021	0	7e-04	0	4e-04	0.0018	0.0011	8e-04	0	0	0	4e-04	0	7e-04	0.001	7e-04	4e-04	0	0	0	3e-04	0.0012	0.0019	0	8e-04	6e-04	0	2e-04	0	7e-04	9e-04	0	0.0012	0	0	0.0012	0	0	0	0	0	7e-04	0	1e-04	6e-04	6e-04	0	0	0	0	0	1e-04	0	0	0	0	1e-04	0	0	0.0013	1e-04	0	4e-04	0.0018	0	0	0.0032	1e-04	4e-04	0	8e-04	2e-04	1e-04	1e-04	6e-04	3e-04	1e-04	0.0018	0	0	0	0.0012	0.0017	0	0.0017	0	0	0	1e-04	0.0025	3e-04	0	0	0	0.0032	0	0	0	0	0	1e-04	0	6e-04	0	0	0	0	2e-04	0	7e-04	9e-04	1e-04	1e-04	0	1e-04	5e-04	4e-04	3e-04	1e-04	4e-04	9e-04	6e-04	0	0	5e-04	2e-04	1e-04	8e-04	1e-04	2e-04	0	0	0	5e-04	1e-04	0	0
Neutrophils	0.0053	0	0.0124	0	0.0086	0	0.0027	0.0014	0.0118	0	1e-04	0	0.038	0	0	0.0128	0.0429	0.0109	0	0	7e-04	0	0	3e-04	0.0011	4e-04	0.0723	0	0	0	0.0023	0.0181	0	0	0	0	4e-04	0.0147	0	3e-04	0	0	0.0174	0.0197	9e-04	0.0015	0	0	0.0012	0	0.004	0.0022	0.021	0.086	0	0	0	2e-04	0.0062	0	0	0.0348	0.0013	0.0029	0.0018	0.0012	0.0199	0.0177	0	0.0082	0.0896	0.0033	0.0129	0	0	0	0.0446	0	0.0415	3e-04	0	0.0281	0.0013	0	0	0	0	0	0.0049	0	0	0.001	6e-04	0.0065	0	0	0	0.0013	0.0031	0	0	0	0	0	0	0	0	0.026	0	0.004	0.0077	0.0822	0	0	0	0.0183	0.0015	0.0021	0.0085	0	0.0097	0	0	0.0222	0.0601	0.0014	2e-04	0	0.0853	0	0	0.1708	0.0126	0	0	0.0022	0.0046	0	0.0056	0	0	0.0025	0	0	0.0063	0.0083	0.0065	0	0	0.0164	0.0072
Osteoblast	0	0.0203	0	0	0.0051	0.0638	0.0333	0.0452	0	0	0.0335	0.0122	0	0	0.0184	0	0	0.0063	0.007	0	0.0464	0	0	0	0	0.0097	0	0.0338	0.028	0.054	0.0343	0	0	0	0.0166	0.0337	0.0402	0	0	0.008	0.0298	0.0172	0	0.0345	0	0.0215	0	0.0239	0	0.0665	0.0287	0	0	0	0	0.001	0	0.0417	0.0111	0	0.0244	0	0	0.0293	0	0.0111	0	0	0.0538	0.0293	0	0.0265	0.0086	0.0104	0	0.0174	0	0.0099	0	0.0031	0.0284	0.031	0.0452	0	0.0241	0	0	0	0.0238	0	0	0.0202	0.0292	0	0.0352	0	0	0.0061	0.0136	0.0141	0.0312	0	0.0084	0	0.0241	0	0	0	0.0895	0.027	0	2e-04	0.0285	0	0	0	0.0584	0.0454	0.0159	0.0062	0.0352	0.0634	0	0.0019	0.0156	0	0	0.047	0	0.0565	0	0.0061	0.0491	0	0	0.0446	0.0284	0.0107	0.0321	0.0436	0.0363	0	0.0387	0.0137	0	0.0048	0.0042	0	0.0285	0.0058	0
Pericytes	0	0	0.0667	0	0.0513	0	0.0054	0.1126	0	0	0	0.0276	0.0165	0.0139	5e-04	0.0231	0.0517	0	0.0264	0.0023	0	0.082	0.0618	0.0786	0	0	0.0117	0.0058	0.0158	0.0033	0	0.0476	0.058	0.0527	0.0587	0.06	0	0.0093	0.0576	0	0.0153	0.0483	0.0377	0.0239	0	0	0.0223	0.0039	0.0621	0.0367	0.0463	0.0435	0.0329	0.0327	0.0715	0	0	0.0091	0	0.05	0.0679	0.0272	0.0435	0.0234	0.046	0	0.1029	0.0296	0.1019	0.0213	0.0353	0	0	0.0154	0.0334	0.0812	0	0.0226	0.0385	0.0143	0.0385	0	0	0.0236	0.0362	0.0455	0.0073	0.0709	0	0.0369	0	0.066	0.013	0.0211	0.0175	0.0409	0	0	0	0.0163	0.0949	0.0078	0.053	0.0529	0.0699	0.0195	0.0237	0.0582	0.0014	0.0223	0.0277	0	0.0289	0	0.0275	0.0479	0.0057	0.0663	0.0109	0.0014	0.0418	0.0081	0.0346	0	0.0082	0.0319	0	0.0656	0.0279	0.0737	0.0125	0	0	0.0048	0	0	0	0.062	0	0.0172	0.044	0	0.0701	0	0.0369	0.038	0	6e-04	0.0537	0.1437	0.0486
Plasma cells	0	0.0031	0.0023	0	0	0	0.0113	0.0029	0	0	0.0592	0.0299	7e-04	0.001	0.0031	0	0	0.0055	0	0	0.0015	0.003	0.0115	0	0.0079	0.0153	0	0.0036	0	0.0079	0.0061	0	0.0042	0.0114	0.0123	0	0	0.0043	0	0.0079	0.0258	0.0352	0	0.0027	0.006	0	0.0022	0.0088	0.0037	0.0067	0.0085	0.008	0	0	0.0068	0.0052	0.0625	0.0051	0.0017	0.0111	0.0085	0.0284	6e-04	0.0038	0.0212	0.0101	0.0087	0.0015	0.0147	0.003	0	0	0.0062	0	0.0086	0.0197	0.0102	0.0136	5e-04	0	0.0191	5e-04	0.0151	0	0.0029	0.0027	0.0156	0	0	0	0.0045	0.0196	0.0051	0.0058	0.0112	0.0348	0.0012	0.007	0	0.0044	4e-04	0	0.0148	0.0013	0.0194	0.0041	0	0	0.0105	0.002	0	0	0.0165	0	0	0	0.0016	0.0114	6e-04	0.0153	0.0057	0.0027	0.0065	2e-04	0.0082	0.0357	0.0207	0	0.001	0.0047	0	0.0062	0.0112	0.0053	0	0.0112	0.0018	0.0119	0.0125	0	0.0101	3e-04	0.0189	0	0	0.0134	0.0377	0	0.0021	0.0033	0.0047
Platelets	0	0.0027	0	0	0	0	0	0	0	0	0	0	0	0	0.0147	0	0	0	0.0055	0	4e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0941	0.0053	0	0	0	0	0	0	0.1617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0306	0.0169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022	0	0	0	0	0	0.0055	0	0	0.0485	0	0	0	0	0	0	0.0402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0078	0	0	0	0	0	0	0	7e-04	0	0	0	0	0	0	0	0	0	0	0	0	0.0051	0	0.0655	0	0	0	0
Preadipocytes	0.0333	0	0	0	0	0	0	0	0.0505	0.0256	0	0	0	0	0.0024	0	0	0.012	0.0432	0	0.0158	0	0	0	0	0	0.0048	0	0	0	0.0133	0	0	0	0	0	0.0552	0	0.0505	0.0157	0	0	0	0	0	0	0	0.0246	0	0	0	0	0	0	0	0.0997	0.0583	0	0.038	0	0	0	0	0	0	0	0	0	0	0	0.0173	0.0096	0.0556	0.0042	0.0041	0.0036	0.0571	0	0.0184	0	0.0415	0.0276	0	0	0.0301	0.0077	0.0914	0	0.0097	0	0.0874	0	0	0.0145	0.0079	0	0.0205	0	0.0581	0	0	0	0	0.0238	0	6e-04	0.0154	0	0	0	0	0.036	0.0086	0	0.0074	0	0	0	0	0.0032	0.0102	0.0203	0	0.0294	0	0	0.0203	0	0	0	0.0196	0.0136	0	0	0.0255	0.0638	0	0	0.0051	0	0	1e-04	0	0.0263	0	0	0.0779	0	0	0	0
Sebocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skeletal muscle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4e-04	7e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smooth muscle	0.1786	0.0492	0.075	0.1279	0.1381	0.292	0.2666	0	0.2551	0.1561	0.2283	0.2497	0.0303	0.1886	0.2611	0.1838	0	0.1312	0.1122	0.2364	0.2809	0.063	0	0.0096	0.1936	0.1131	0.2118	0.1143	0.2105	0.1983	0.4178	0.1124	0.0727	0	0.2125	0.0627	0.1787	0.0873	0.1027	0.2615	0.2899	0.2437	0.1834	0.1074	0.145	0.3054	0.1381	0.2633	0.06	0.1525	0.1674	0.1952	0.1973	0.1323	0	0.2494	0.1165	0.3264	0.2246	0.0187	0.2023	0.067	0.1607	0.1605	0.0024	0.4149	0.0904	0.1636	0	0.2479	0.1514	0.3206	0.4546	0.2052	0.1729	0.1152	0.2054	0.3752	0.1366	0.1472	0.1601	0.3722	0.2361	0.1015	0.1576	0.0621	0.2973	0.0936	0.3513	0.126	0.2381	0.1631	0.1841	0.2225	0.1804	0.286	0.095	0.2392	0.273	0.1567	0.006	0.2621	0.1363	0	0.1543	0.1492	0.1108	0.198	0.2216	0.1569	0.09	0.202	0.2497	0.0804	0.1687	0.1427	0.1821	0.0765	0.1887	0.0462	0.1571	0.2056	0.1302	0.1808	0.3102	0.0765	0.2928	0.116	0.0143	0.1345	0.2212	0.2352	0.3072	0.1343	0.2249	0.2241	0.2822	0.1312	0.286	0.2448	0.2298	0.1943	0.2084	0.4033	0.0972	0.156	0.1997	0.0215	0.1629	0.1242	0.2604
Tgd cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Th1 cells	0.0552	0.049	0.0012	0.0119	0.0206	0.042	0.0389	0.1003	0	0	0.1512	0.0537	0.0238	0.0104	0.0105	0.0293	0.0298	0.0647	0.1088	0.0642	0.0358	0.0628	0.0828	0.0803	0.0672	0.0785	0.0164	0.0872	0.0576	0.0536	0.0156	0.0329	0.066	0.0591	0.058	0.0643	0.0065	0	0.0991	0.0189	0.0452	0.0565	0.0081	0.1192	0.0575	0.0556	0.0342	0.0305	0.0148	0.0848	0.0725	0	0.0105	0.0275	0.1434	0.0596	0.0474	0.0475	0.0178	0.0627	0.063	0.0079	0.0457	0.0942	0.0824	0	0.0285	4e-04	0.1934	0.0481	0	0.0347	0	0.0468	0.0938	0.1252	0.0087	0.0671	0	0.0489	0.0381	0.0206	0.0782	0.0534	0.0576	0.0362	0	0.0339	0	0.0525	0.0074	0.0671	0.0579	0	0.062	0.0767	0.0196	0.0623	0.0205	0.1055	0.1383	0	0.118	0.0687	0.0695	0.0215	0.0474	0	0.1039	0.0583	0.0442	0.0011	0.042	0.1421	0.0786	0.0152	0.0952	0.1169	0.0575	0.0998	0.069	0.108	0.0208	0.0124	0.0033	0.0258	0.0472	0.1152	0.0187	0.0646	0.027	0	0.1053	0.1078	0.0051	0.078	0.0513	0.109	0.0202	0.0217	0.0352	0.027	0.1295	0.0499	0.0533	0.0557	0.0451	0.032	0.0626	0.0318	0.0894
Th2 cells	0	0.0244	0	0.0388	0	0.0064	0	0	0.0594	0.0336	0.0651	0.0124	0.0311	0.0096	0.0695	0.0699	0	0.0642	0.015	0	0.045	0.0151	0.0173	0.0166	0.0231	0.0133	0.1287	0.0172	0.0354	0.0059	0.0516	0.0202	0	0	0.0078	0.0146	0.0554	0.0228	0	0.078	0	0.0036	0.0907	0	0	0.0021	0.0209	0	0	0.0112	0.0065	0.0205	7e-04	0	0	0.0428	0.0267	0.0137	0	0.0645	0	0.0377	0.0198	0.031	0	0.0938	0.0087	0.0225	0	0.0789	0.0078	0.0164	0.0735	0	0.0662	0.0525	0.0817	0.0421	0.0022	0.0237	0.0424	0.0675	0.0128	0.0238	0.0637	0.0032	0.192	0	0.0778	0	0.0677	0.0166	0.0229	0.0857	0.0354	0	0.0935	0.0733	0.0851	0	0	0.0108	0.0717	0	0	0.0115	0	0	0.0016	0.0388	0.0291	0.0566	0.0196	0.0257	0	0.0052	0.0546	0	0.017	0	0.0476	0.019	0.0194	0.0274	0.0532	0.048	0.0896	0.0426	0.0339	0.0133	0.0657	0.0112	0.0242	0.0118	0.0291	0.1196	0.0312	0	0.0839	0	0	0.0434	8e-04	0.1534	0	0.0337	0.104	0.0111	6e-04	0	0.0261
Tregs	0	0	0	0	0	0	0.0051	0	0	0	0	0	0	0.0059	0.0104	0	0	0	0	0	6e-04	0	0	0	0	0	0	0	0.0171	0.0021	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0.0096	0	0	0	0	0	0	0	0.0191	0	0	0	0	0.0241	0	0	0	0	0	0	0	0	0.0071	0	0	0	0	0	0	0	0.0392	0	0	0.0161	0	0	0	0	0	0	0	0	0.023	0.0036	0.0192	0	0	0	0	0	0	0.063	0	0	0	0	0.0156	0.0092	0	0	0	0	0	0	0	0	0	0	0	0.046	0	0	0	0	0	0	0.0026	0	0.0215	0	0	0	0	0	0	0	0	0	0	0	0	0.0069	0	0.0185	0.0015	0	0	0	0	0	0	0	0	0	0	0
aDC	0	0	0	0.0246	0	0	0	0	0	0.0246	0	0	0	0	0	0	0	0.126	0	0	0	0	0.1329	0	0	0.0616	0	0	0	0	0	0	0	0	0.012	0	0	0.0248	0	0	0	0	0	0	0.0204	0	0	0	0	0	0	0	0	0	0.0296	0.2158	0	0	0	0	0	0	0	0	0.0595	0	0.0362	0	0	0	0	0	0	0.0107	0	0	0	0	0	0.074	0	0	0	0	0.0015	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0.0173	0	0	0.1912	0.0192	0	0	0.0539	0.1483	0.1257	0	0	0	0	0	0	0.0118	0.1261	0	0	0	0	0	0	0	0	0	0	0	0.0758	0	0	0	0	0	1e-04	0	0.0335	0	0	0	0	0	0	0	0	0.215	0	0.0204	0	0	0	0
cDC	0.1065	0.0819	0.1231	0.0121	0.0584	0.0657	0.0721	0.0125	0.0572	0	0.0496	0.0015	0.2139	0.0982	0.0847	0.6142	0	0.0526	0.0189	0	0.042	0.0576	0.1448	0.5757	0.084	0.0573	0.0305	0.0157	0.0081	0.0565	0.0192	0.3611	0.149	0.1236	0.0047	0.0134	0.0225	0.0357	0.0529	0.1133	0.0629	0.019	0.5109	0	0.0246	0.1484	0.0083	0	0.3868	0.0011	0.2167	0.0148	0.0681	0.0599	0.3382	0.091	0.0972	0.0553	0	0.0081	0.0067	0.0247	0.3281	0.0911	0.0535	0	0.7506	0.1495	0.0169	0.0512	0.2723	0.093	0.13	0.0623	0.0305	0.2425	0.3406	0.0098	0.4159	0.0864	0.0032	0.0144	0.0166	0.1312	4e-04	0	0.2873	0.0169	0.0373	0.0586	0.3268	0.0082	0.1616	0.218	0.4444	0.0125	0.002	0.1327	0.0032	0.0368	0.1757	0.0643	0.162	0.0165	0.0078	0.1131	0.1497	0.2326	0	0.0682	0.4247	0.101	0.2077	0.0851	0.1118	0.0982	0	0.0268	0.1998	0.0608	0.122	0.0361	0.0955	0.138	0	0	0.0245	0.0141	0.0073	0	0.1182	0.0397	0.0348	0.0534	0.5028	0.0037	0.0117	0.0053	0.0558	0.0148	0.0544	0	0.0639	0.0046	0.2093	0.0485	0.0202	0.0036	0.2698	0.0053	0.0625
iDC	0.0244	0.0331	0.1562	0.0471	0.0749	0.0905	0.126	0.1784	0	0.0648	0.2001	0.0404	0.0496	0.1974	0.0216	0.3743	0	0.1361	0.0388	0.0278	0.0314	0.2967	0.2036	0.2873	0.117	0.1024	0.0667	0.0838	0.0665	0.136	0.1026	0.1568	0.4226	0.2405	0.0709	0.0797	0.0749	0.2304	0.0343	0.0858	0.1084	0.1077	0.4336	0.1609	0	0.1611	0.1131	0.0798	0.3136	0.0867	0.046	0.3023	0.2465	0.1019	0.0839	0.1311	0.0951	0.1665	0.0203	0.2332	0.0456	0.1448	0.2152	0.076	0.1645	0.0188	0.2266	0.3418	0.0086	0.2469	0.1069	0.0911	0.279	0.0224	0.1275	0.4828	0.0802	0.2165	0.2244	0.0352	0.0179	0.0683	0.1143	0.2077	0.0466	0	0.1765	0.1583	0.0492	0.1798	0.2789	0.1945	0.0905	0.3124	0.1474	0.3319	0.1278	0.3309	0.0538	0.0736	0.0731	0.342	0.0133	0.0728	0.0416	0.0819	0.0242	0.3375	0.085	0.1278	0.2472	0.0586	0.1791	0.0859	0.035	0.1616	0.0142	0.2066	0.0333	0.0099	0.0353	0.0897	0.1336	0.0877	0.2737	0.0432	0.1747	0	0.0429	0.1076	0.1567	0.0233	0.0559	0.086	0.3304	0.07	0.0669	0.2254	0.0467	0.049	0.1002	0.0168	0.1137	0.0851	0.0547	0.2133	0.0804	0.1075	0.2101	0.276	0.3159
ly Endothelial cells	0.0041	0.004	0	0.0023	0.0048	0	0	0.0483	0.0029	0.0091	0	0	0	0	0	9e-04	0.0032	0.0102	0.0495	0.0252	0.001	0	0	0.0021	0	0.0048	5e-04	0.0087	0.0055	8e-04	0.0027	0.0011	0	0.0065	2e-04	0.0198	0.0086	0	0.034	0	0	0.0052	4e-04	0	0.0159	8e-04	0.0085	0.0283	0	2e-04	0	0	0	0.003	0.0127	0.0329	0.0019	0	0.0132	0	0.002	0	0.0048	0	0	4e-04	0	0	0.0079	0	8e-04	0.0018	8e-04	0.0291	0	0	0	0	0	0	0.0056	0.0017	0	0.0017	0.0077	0.0026	0	0.0106	0.0022	0.0101	0.0021	0	0	5e-04	0	0.001	0.0047	0	9e-04	0.007	0	0	0	0	0	0	0.0059	0	0	0	0.0082	0.002	9e-04	0	0.0308	0	0	0	2e-04	0.0214	0	0	8e-04	0	0	1e-04	0	0.0017	0.001	3e-04	0.0148	4e-04	9e-04	0	0	0.0052	0	0	0.002	0.0127	0.0041	0.0029	0	9e-04	0.0206	0	0.0088	0.002	0	0	0
mv Endothelial cells	0.014	0.0144	0.0072	0.0073	0.0066	0.0174	0.0111	0.0502	0	5e-04	0	0	0	0	0	0.0109	0.013	0.0152	0.0339	0.0201	0.0016	0.0019	0.0121	0.0234	0	0.0116	0.0053	0.0169	0.0272	0.0239	2e-04	0.0087	3e-04	0.0288	0.0072	0.035	0.0106	0	0.0461	0	0.0026	0.0121	0.0103	0	0.0083	0.0057	0.021	0.0257	0.0105	0.0041	0.0125	0	0	0.0262	0.0333	0.0499	0.0068	0.0036	0.0135	0.007	0.0103	0.0069	0.0148	0.0046	0.0106	0.0011	0.011	0	0.0293	0	0.0013	0.0082	0	0.0384	0	0.0161	0	0	0	0.0126	0.0115	0.0016	0	0.0164	0.0247	0.008	5e-04	0.0465	0	0.026	0.0072	0	0.0088	0.0033	0.0077	0	0.0024	0.0034	0	0.0139	0.0252	0.0151	0.0101	0.0117	0.0063	0.0048	0.0131	0	0	0.0076	0.0256	0.0063	0.0087	7e-04	0.0555	1e-04	4e-04	0.0181	0.0048	0.0338	0.0124	0.0071	0.0038	0	0	0.0028	0	0.0285	0.0029	3e-04	0.0117	0.0032	0.0088	0.0078	0	0.013	0.0033	0.0072	0.0022	0.0311	0.0125	0.0022	0.0128	0.0024	0.0479	0.0073	0.0014	0.0058	0.0089	0.0083	0
naive B-cells	0	0.0291	0.0146	0	0	0	0	0	0	0	0	9e-04	1e-04	0.0022	0.0038	0.0033	0	0.0712	0	0	0	0	0.0232	0.0027	0.0123	0.0107	0	0.0319	0	0	0	0.0026	0	0	0.0051	0.0241	5e-04	0.0066	0	0.0047	0.008	0.0362	2e-04	0	0	0	0.0028	0	0.0109	0	2e-04	0.0361	0.0034	0	0.0069	0	0	0	0.006	0.063	0.0032	5e-04	0.0028	0	0	0	0.0045	0	0.0025	0	0.0046	0	0	0	0	0.0123	0.0122	0.0118	0.013	0	1e-04	0	0	0.0281	0	0.0145	0	0	0	0.0335	0.005	0	9e-04	0	0.0081	0	0.0152	0	0	0.0385	0.0051	0.033	0	0.0078	0.0019	0.009	0	0.0018	0	8e-04	0	0	0.0118	0.0611	0	0.0019	0.0059	0	0	0	0	0	0	0.0163	9e-04	0.0059	0.0034	0	0.005	1e-04	0.0066	0.0094	0	0	0.0048	0	0.0098	0	0	0	0	0	0.0184	0	0	0	0	0.0475	0	0	0
